,cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,paid
1659,Ugw2_aEVCfUjeKMtOkZ4AaABAg,Terima kasih 58,1 month ago,@rizkypujianto5505,UCuqGmw-UkwG6frcLwm7yK0g,0,,https://yt3.ggpht.com/ytc/AIdro_nF_qZ4gUag1htXjg3ApRuj38C80sS-VACGH9I9iWNPD8Bc=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.569088,
1660,UgzRVLXrinK2N2hjTPV4AaABAg,Periksa ketua BGN hentikan MBG dablek banget Prabowo,1 month ago,@ardihardiansyah-o3q,UC-zl1RXirERgevoiPEdC7Iw,0,,https://yt3.ggpht.com/ytc/AIdro_lbpRUu5gbsvWTmsdI3NZ15kpk0Ej3nbI--JsDIpwlL-8rX0jbLwi0IQmkjLB0HWRjkqw=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.570601,
1661,UgyT19iJt5DIbg-QNih4AaABAg,""" Ilmu komunikasi terhadap masyarakat sangat penting """,1 month ago,@PapiBimzzz,UC67cYa74k5OxwHSiSUEpoaQ,0,,https://yt3.ggpht.com/J7md5WQ1HhcuR0fIC4qU7mvdaoS321xLavdvVnB1Gce9NwyCT3-Nk9vLNX8nFYjebHq0gXg2dUQ=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.572216,
1662,UgwpVNxMmBiMSmPD2KZ4AaABAg,"APA SOLUSINYA ADIK ADIK ... ?????
BETULLL !!
MBG SOLUSINYA!!!!! 🤣🤣🤣",1 month ago (edited),@jugaesport4297,UCVoWtv5IEM2gAMfvCH0yoaw,1,,https://yt3.ggpht.com/ytc/AIdro_m2g__-AwGH6u1SreUmeLJsbDUdg8YZ10Q5tzJdqWSe_Y4L-l6LGvHa66Ro1s_bmfGeFw=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.573891,
1663,UgwxbvtRcbOe-3yamS14AaABAg,Sabar bang²..😂 terlalu berapi²..,1 month ago,@bayupc6102,UC31k_McjeyjqSD-P6huP3Mw,0,,https://yt3.ggpht.com/ytc/AIdro_m5EH432tcCFPC3gj_KX-O_kksk61DVxGVsfeZmiwc=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.575576,
1664,UgzhSj6_-HR7AD6NXqd4AaABAg,Liat kenyataan seperti rakyat harus apa...nunggu dia selesai. ...dua taun dia. Jabat aja Kya bgini...,1 month ago,@DeniWayudi-t6r,UCDqEG0G8XFde2KKFhggltuA,0,,https://yt3.ggpht.com/ytc/AIdro_mO-FmweL8y1uNqqNcUDZ4M2Un4LX2rU-rFLpju9-lPnEwniZbZVQiSSLxwVY_IJGv2Ww=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.577232,
1665,UgyWVcZn5zGbtpIn9eB4AaABAg,"Purbaya omon omon aja yg banyak, mulai keliatan pekoknya",1 month ago,@muchamedraqibpidu7703,UC8aYFhGCbyAnWQYBEs9ukEA,0,,https://yt3.ggpht.com/5QnMZumIs3GIsArG5KcafoZxKyfGESYXTGfLVDuFAy9fFucM96WZnL4sCuy5mE7sWmhf8zHduM4=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.578754,
1666,UgzmWnyiA3_JEqxB-WZ4AaABAg,Mines sedoyo nggih,1 month ago,@putrimardika1895,UCwlHH9pexXz4RTKcovoWFsw,0,,https://yt3.ggpht.com/ytc/AIdro_mr37oRls3u6k7EE_8gDqBxn_k1Cw9-a1KK79pSS85YEcYWkOxBOW-pyk2xx5PX-pxcIw=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.580394,
1667,UgxKcq82pr1yK1-GP-p4AaABAg,evaluasi kebijakan atau hentikan kebijakan yang membebani APBN terlalu besar,1 month ago,@clip_perin,UC_ZRIHlsxeCpziiuNhg9VBA,0,,https://yt3.ggpht.com/iNdv9NcANmzcUwLF9DPiWCZ5kYiB_GZ22R5iHp-i9XiVhUyzwilmn89B3BpN_N-92hPcMZ2G05g=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.582006,
1668,UgzzzXtu2wHrbnNERi94AaABAg,Suaranya ga nyaman,1 month ago,@goesbluenote8455,UC9O5PjnzQMmf9fya-gN8r8Q,0,,https://yt3.ggpht.com/ytc/AIdro_lpN_nPF_VEIxmw-IU4hPZ8fqhxTkaFn6a2jan7__bunuw=s88-c-k-c0x00ffffff-no-rj,False,False,1780714521.583532,
